All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly     # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50     N90     auN       L50  L90   # N's per 100 kbp
SRR25445097  64                   59                      46                      41                       34                       22                       3895116                 3891683                    3862596                    3821250                     3726994                     3218793                     64         293113          3895116       38.92   152487  42800   157420.5  9    29    14.97            
SRR25445098  63                   58                      45                      40                       32                       22                       3861026                 3857620                    3828272                    3786926                     3673872                     3243499                     63         293113          3861026       38.95   162136  43524   159150.9  9    27    15.18            
SRR25445099  63                   58                      46                      40                       34                       23                       3892791                 3889262                    3861217                    3809874                     3726395                     3264560                     63         293113          3892791       38.92   162136  42800   154922.3  9    29    10.17            
SRR25445100  62                   58                      45                      39                       33                       23                       3894703                 3891899                    3862777                    3814123                     3734522                     3328680                     62         293113          3894703       38.92   162136  42800   160907.8  9    27    15.07            
SRR25445101  66                   58                      46                      41                       33                       21                       3895326                 3889844                    3861898                    3820552                     3712553                     3202859                     66         293113          3895326       38.92   162136  42800   160271.6  9    28    14.94            
SRR25445102  61                   54                      42                      38                       31                       24                       3818975                 3814403                    3785473                    3754671                     3642528                     3337564                     61         293113          3818975       38.93   162136  43524   158560.6  9    27    10.26            
SRR25445103  63                   56                      43                      39                       32                       21                       3893927                 3889148                    3859632                    3825110                     3731436                     3269591                     63         293113          3893927       38.92   168218  43524   164260.2  9    26    15.10            
SRR25445104  58                   55                      42                      38                       32                       22                       3893433                 3891243                    3862084                    3827562                     3747962                     3335013                     58         293113          3893433       38.92   168218  43524   164815.4  9    26    12.46            
SRR25445105  55                   50                      39                      34                       28                       24                       3982230                 3978681                    3953777                    3920446                     3833979                     3694522                     55         408391          3982230       38.93   220483  57120   222612.3  6    22    12.43            
SRR25445106  63                   55                      43                      39                       32                       21                       3893170                 3887445                    3859499                    3824977                     3731303                     3269457                     63         293113          3893170       38.92   168218  43524   164283.7  9    26    15.03            
SRR25445107  63                   56                      43                      39                       32                       21                       3865699                 3861109                    3830025                    3795503                     3704768                     3242923                     63         293113          3865699       38.94   168218  43524   161951.1  9    26    12.52            
SRR25445108  64                   59                      45                      41                       34                       22                       3893674                 3890331                    3860151                    3825629                     3731373                     3241908                     64         293113          3893674       38.92   161195  42800   156147.2  9    28    10.09            
SRR25445109  58                   52                      45                      42                       34                       23                       3842719                 3839031                    3823417                    3798558                     3682129                     3229168                     58         293113          3842719       38.94   162141  42800   152483.7  9    28    12.62            
SRR25445110  65                   59                      44                      40                       32                       22                       3895317                 3891142                    3854814                    3820292                     3703253                     3267583                     65         293113          3895317       38.92   168218  44169   157954.0  9    27    17.79            
SRR25445111  59                   54                      44                      42                       36                       24                       3873044                 3869405                    3846969                    3832539                     3748899                     3255241                     59         293113          3873044       38.93   139056  44169   143031.4  11   29    10.04            
SRR25445112  68                   62                      51                      43                       36                       22                       3893698                 3889805                    3862740                    3800666                     3707091                     3147686                     68         293113          3893698       38.92   131055  42649   150580.9  10   30    15.08            
SRR25445113  66                   59                      47                      42                       34                       23                       3774178                 3769158                    3740188                    3703245                     3588840                     3133333                     66         293113          3774178       38.94   131059  42649   144625.3  10   29    15.66            
SRR25445114  61                   57                      44                      39                       33                       23                       3866715                 3863654                    3832681                    3791335                     3711734                     3298787                     61         293113          3866715       38.93   162136  43524   158499.9  9    27    15.10            
SRR25445115  67                   59                      46                      41                       34                       23                       3860369                 3855212                    3826110                    3784764                     3691090                     3229247                     67         293113          3860369       38.94   147313  42800   151873.9  10   29    15.31            
SRR25445116  49                   47                      36                      32                       26                       21                       3908113                 3906554                    3879464                    3851096                     3760267                     3589022                     49         409885          3908113       38.85   260489  51091   238364.3  6    20    12.54            
SRR25445117  57                   51                      44                      39                       32                       23                       3764697                 3760654                    3744592                    3706366                     3608841                     3225975                     57         293113          3764697       38.92   162136  45707   154330.5  9    27    18.17            
SRR25445118  61                   52                      46                      40                       34                       22                       3834414                 3828244                    3811832                    3768638                     3681566                     3182875                     61         293113          3834414       38.93   162136  42800   155104.0  9    28    12.78            
SRR25445119  58                   54                      45                      41                       34                       24                       3865915                 3863477                    3841647                    3809964                     3706578                     3312959                     58         293113          3865915       38.95   162141  42649   156208.7  9    28    10.17            
SRR25445120  75                   68                      49                      44                       35                       25                       4097846                 4093099                    4049316                    4013263                     3882919                     3520235                     75         341026          4097846       38.89   157682  39542   155721.2  10   29    11.91            
SRR25445121  76                   68                      52                      46                       37                       26                       4097339                 4091855                    4054951                    4011803                     3883028                     3474236                     76         263261          4097339       38.88   142245  39133   142042.5  11   31    14.18            
SRR25445122  77                   68                      51                      46                       35                       23                       4031315                 4024821                    3980566                    3946266                     3769871                     3338469                     77         341390          4031315       38.98   151724  34868   154667.1  10   30    14.56            
SRR25445123  77                   68                      48                      44                       35                       25                       4096880                 4090451                    4041229                    4014024                     3886349                     3533595                     77         341491          4096880       38.88   155923  38838   156558.0  10   29    14.21            
SRR25445124  78                   72                      52                      47                       38                       26                       4097029                 4092843                    4046723                    4012523                     3883747                     3439583                     78         341027          4097029       38.88   142246  39133   143566.5  11   32    9.54             
SRR25445125  77                   68                      49                      45                       36                       26                       4096066                 4090543                    4040150                    4011083                     3880015                     3517741                     77         341391          4096066       38.88   140447  39133   149156.6  11   30    9.37             
SRR25445126  73                   66                      48                      43                       35                       25                       4092459                 4087551                    4048219                    4010301                     3893039                     3530764                     73         341127          4092459       38.89   155923  39133   157069.8  10   29    11.63            
SRR25445127  50                   46                      37                      33                       27                       23                       3840929                 3838127                    3816662                    3788401                     3697401                     3557949                     50         404186          3840929       38.85   179908  53500   214915.3  7    22    10.26            
SRR25445128  53                   48                      38                      33                       26                       21                       4020990                 4016941                    3995276                    3962218                     3853042                     3667895                     53         408391          4020990       38.94   260489  50534   238178.2  6    21    12.21            
SRR28167554  88                   78                      55                      46                       39                       25                       4012665                 4005370                    3947844                    3883925                     3773938                     3240166                     88         492912          4012665       39.15   116519  36563   172010.5  9    34    4.96             
SRR28167555  90                   79                      56                      46                       39                       24                       4011417                 4003597                    3945895                    3875946                     3765959                     3186012                     90         492912          4011417       39.14   116519  36563   170627.7  9    34    4.91             
SRR28167556  90                   79                      56                      46                       39                       24                       4012332                 4004445                    3946919                    3876970                     3766983                     3187035                     90         492912          4012332       39.15   116519  36563   171836.5  9    34    9.77             
SRR28167557  147                  134                     101                     85                       46                       21                       3761553                 3751746                    3669981                    3554539                     2908785                     1987942                     147        214461          3761553       39.00   53133   14278   73760.1   19   72    0.00             
SRR28167558  132                  116                     96                      79                       56                       26                       3831896                 3819777                    3773398                    3652756                     3292144                     2236122                     132        236556          3831896       38.97   54937   16197   76327.3   20   64    5.14             
SRR28167559  89                   79                      56                      46                       39                       24                       4011680                 4004279                    3946752                    3876803                     3766816                     3186869                     89         492912          4011680       39.15   116519  36563   171850.7  9    34    2.42             
SRR28167560  91                   80                      57                      47                       40                       24                       4011820                 4003652                    3946126                    3876178                     3766191                     3145846                     91         492912          4011820       39.14   106011  36563   169088.8  10   35    2.42             
SRR28167561  90                   78                      57                      46                       40                       27                       4043312                 4034589                    3980772                    3903975                     3813077                     3309882                     90         303665          4043312       39.16   116519  39958   132752.8  12   35    4.90             
SRR28167562  87                   78                      55                      45                       39                       24                       4043738                 4037065                    3979189                    3909340                     3817074                     3237126                     87         492912          4043738       39.16   123909  36563   174034.6  9    34    4.75             
SRR28167563  33                   30                      23                      21                       19                       16                       3884287                 3882189                    3868864                    3854407                     3823777                     3707068                     33         656484          3884287       38.88   256030  107775  326070.0  5    13    2.45             
SRR28167564  89                   78                      55                      45                       38                       23                       4011282                 4003280                    3945753                    3875804                     3765817                     3185870                     89         492912          4011282       39.15   124425  36563   174948.3  9    33    2.42             
SRR28167565  74                   62                      48                      42                       38                       24                       4000971                 3992394                    3960963                    3914703                     3852230                     3313104                     74         493107          4000971       39.16   123867  40418   183877.2  9    31    7.35             
SRR28167566  89                   77                      56                      46                       37                       22                       4043252                 4034247                    3981460                    3911517                     3760076                     3173212                     89         340294          4043252       39.16   130269  34329   156056.6  10   33    7.30             
SRR28167567  87                   76                      55                      45                       38                       25                       4041760                 4033682                    3980578                    3910635                     3800648                     3290672                     87         305930          4041760       39.16   130269  39961   147725.2  10   33    2.40             
SRR28167569  21                   16                      14                      13                       12                       11                       4021818                 4018185                    4012949                    4007660                     3989997                     3963352                     21         1730407         4021818       38.86   483708  163229  930142.7  2    7     0.00             
SRR28167570  81                   71                      53                      44                       38                       25                       4017875                 4010881                    3964567                    3902832                     3804910                     3291255                     81         305764          4017875       39.10   130269  39961   148596.0  10   33    7.32             
SRR28167571  88                   77                      55                      44                       38                       25                       4041681                 4033785                    3976799                    3897203                     3801022                     3290618                     88         303665          4041681       39.16   130269  39961   146602.6  10   33    4.85             
SRR28167572  90                   80                      57                      46                       40                       24                       4011946                 4004566                    3946962                    3867319                     3773597                     3146583                     90         335800          4011946       39.14   116519  36563   146013.3  10   35    7.38             
SRR28167573  89                   78                      55                      45                       39                       24                       4044540                 4036358                    3978831                    3908883                     3816617                     3236670                     89         492912          4044540       39.16   124425  36563   173981.0  9    34    7.32             
SRR28167574  88                   79                      56                      46                       39                       24                       4043302                 4036629                    3979103                    3909155                     3799168                     3219220                     88         492912          4043302       39.16   125108  36563   172348.6  9    34    7.30             
SRR28167575  85                   75                      56                      47                       39                       26                       4022223                 4014372                    3968986                    3908341                     3782282                     3273791                     85         305764          4022223       39.17   116519  39960   145382.9  10   34    7.36             
SRR28167576  90                   79                      58                      47                       40                       27                       4042546                 4034415                    3980598                    3903702                     3795083                     3291894                     90         303665          4042546       39.16   116519  39958   131048.4  12   35    4.85             
SRR28167577  104                  14                      12                      11                       11                       10                       3897509                 3844324                    3841710                    3836181                     3836181                     3809531                     104        894985          3897509       38.81   579884  196643  556590.6  3    7     2.57             
SRR28167578  88                   78                      55                      45                       38                       23                       4011572                 4004171                    3946645                    3876697                     3766710                     3186702                     88         492912          4011572       39.15   124425  36563   175050.3  9    33    4.91             
SRR28167579  91                   78                      55                      45                       38                       23                       4012619                 4003336                    3945460                    3875512                     3765525                     3185577                     91         492912          4012619       39.15   124425  36563   174874.5  9    33    7.35             
SRR28167581  89                   78                      55                      45                       38                       23                       4011875                 4003707                    3946066                    3876118                     3766131                     3186184                     89         492912          4011875       39.15   124425  36563   174928.7  9    33    4.89             
SRR28167582  89                   78                      55                      45                       38                       23                       4012178                 4004409                    3946883                    3876934                     3766947                     3186999                     89         492912          4012178       39.15   124425  36563   175032.7  9    33    7.38             
SRR28167584  150                  135                     99                      84                       47                       20                       3761535                 3750497                    3661730                    3551765                     2941408                     1938110                     150        214461          3761535       39.00   53133   14278   73887.5   19   71    0.00             
SRR28824822  73                   63                      36                      32                       28                       21                       4136821                 4129121                    4067384                    4039062                     3975567                     3715000                     73         507424          4136821       38.99   244799  45134   246252.4  6    22    21.20            
SRR8618098   131                  119                     87                      73                       54                       29                       4006984                 3999159                    3916001                    3816192                     3478189                     2574823                     131        228956          4006984       38.98   68210   21294   77263.8   20   60    5.96             
SRR8618099   58                   51                      42                      36                       31                       25                       4175530                 4170788                    4138621                    4098670                     4006041                     3789460                     58         371167          4175530       38.98   166608  50456   179299.5  9    25    7.02             
SRR9017260   15                   12                      12                      11                       11                       10                       3746462                 3743975                    3743975                    3738458                     3738458                     3711670                     15         1777353         3746462       38.90   390837  165688  985678.7  2    7     5.23             
